id	source	chart_type	title	narrative_intent	color_palette	bg	shape	highlight	annotation	composition	typography	reading_path	keywords
349	Apple Health / Apple Watch	同心环进度图	Apple Health — 活动环进度图	展示每日三个健康目标的完成度（活动/锻炼/站立），激励闭环			三个不同颜色的同心环，填充进度=完成度，未完部分暗色	环内标注目标值，外标注当前值和卡路里/分钟/小时	居中三环同心 + 底部数据摘要	Sans 20px 中心数字 + 12px 环标签，SF Pro 圆体	第一眼→三个彩色环的填充程度 → 第二眼→哪个环没满 → 最终理解→"站起来走走就能闭环"	同心环进度图,Apple Heal
350	Google Trends	迷你折线图（Sparkline）	Google — 搜索趋势迷你折线图	在搜索结果页内嵌展示关键词的搜索趋势，快速传递"在涨/在跌"			上升趋势用蓝色实心填充线下方，下降趋势无填充	极简——仅折线+端点值，无轴无网格	搜索结果卡片内嵌迷你图	Sans 10px 极简，仅端点数值	第一眼→折线的方向（上/下） → 完成——无需更多	迷你折线图（Sparkline,Google Tre
351	Netflix	堆叠面积图	Netflix — 观看时长分布面积图	展示用户过去一年按类型的观看时长分布，制造"你的观影足迹"叙事			最常看的类型用品牌红 #E50914 加粗上沿，其余类型半透明	面积内标注类型名，峰值标注总时长	水平时间轴堆叠面积，按类型分层	Sans 14px 类型标签 + 20px 总时长，圆体	第一眼→红色区域有多宽 → 第二眼→哪些月份看得最多 → 最终理解→"我居然花了xx小时看剧"	堆叠面积图,Netflix
352	Spotify Wrapped	桑基图（品牌风格）	Spotify — 音乐流派流动桑基图	展示用户从年初到年末的音乐流派流动变化，揭示品味的演变			最大流派流用品牌绿粗线，兴趣迁移的流用黄色标注	左右节点标注流派名+听歌时长，流宽编码时长	左端年初流派 → 右端年末流派 → 中间流线	Sans 13px 流派名 + 11px 时长，圆体	第一眼→最粗的绿色流线 → 第二眼→流线从哪个流派到哪个流派 → 最终理解→"从嘻哈转到电子"的品味变迁	桑基图（品牌风格）,Spotify Wr
353	Fitbit	柱状图（周视图）	Fitbit — 每周步数目标柱状图	展示本周每天的步数达成情况，激励持续达标			达标日用品牌蓝绿色 #00B0B9 实心填充，未达标灰色虚线框	柱顶标注步数，目标线虚线标注10,000步	7根垂直柱（周一-周日），水平目标线	Sans 12px 日期标签 + 14px 步数，数字等宽	第一眼→蓝绿色的达标柱和灰色的未达标柱 → 第二眼→目标线位置 → 最终理解→还差哪天就能"全勤"	柱状图（周视图）,Fitbit
354	Stripe Dashboard	迷你图组合仪表盘	Stripe — 支付成功率迷你图仪表盘	在一屏内展示支付成功率、延迟、拒付率等核心指标的当前值和趋势			异常指标用红色标注，正常指标紫色，每卡片内嵌迷你趋势线	卡片顶部指标名，中心大号当前值，底部7天趋势线	网格卡片布局，每卡片一个指标	Mono 24px 当前值 + Sans 12px 指标名	第一眼→异常红色的卡片 → 第二眼→紫色卡片的趋势方向 → 最终理解→全局健康状态	迷你图组合仪表盘,Stripe Das
355	GitHub	波浪面积图	GitHub — 代码仓库活跃度波浪图	展示代码仓库在过去30天的提交/PR/Issue活跃度的波动节奏			活跃高峰用亮绿 #39D353 填充，低谷用深绿半透明	峰值标注事件（"v2.0 发布"），底部标注日期	水平面积图，30天窗口，填充线下方	Sans 10px 日期 + 11px 事件标注	第一眼→绿色波峰的位置 → 第二眼→波峰对应什么事件 → 最终理解→发布节奏与社区活跃度的关系	波浪面积图,GitHub
356	Reuters Graphics	地图+时间线组合	Reuters Graphics — 叙利亚内战时间线地图	展示叙利亚内战期间控制区的动态变化，用地图+时间轴讲述领土争夺			政府军控制区红色，反对派蓝色，ISIS 黑色，时间轴可拖拽	关键战役标注在地图上（城市名+日期），底部时间轴标注里程碑	上半幅地图 + 下半幅时间轴联动	Serif 14px 战役标注 + Sans 11px 时间轴标签	第一眼→地图上的红/蓝/黑色块 → 第二眼→拖动时间轴看变化 → 最终理解→政府军逐步收复的过程	地图+时间线组合,Reuters Gr
357	Reuters Graphics	动态条形图赛跑（Bar Chart Race）	Reuters Graphics — 全球疫苗接种进度竞赛条形图	展示各国疫苗接种率的动态排名变化，制造"竞赛"叙事			当前领先国用对应国旗色加粗条，其余灰色，顶部标注日期	条端标注国家名+接种率%，日期大号居顶	水平条形图动态排名，12-15个国家参赛	Sans 14px 国名 + 16px 接种率，日期32px加粗	第一眼→谁在领先 → 第二眼→排名变化的翻转瞬间 → 最终理解→以色列/阿联酋的先发优势被追赶	动态条形图赛跑（Bar Cha,Reuters Gr
358	Associated Press	河流图	AP — 气候灾害频率河流图	展示过去50年不同类型气候灾害（洪水/干旱/飓风/野火）的频率变化			每种灾害独立颜色河流，近期增长最快的河流加粗上沿	河流末端标注灾害类型，峰值处标注发生次数	水平时间轴河流图，河道宽度=频率	Sans 13px 灾害类型 + 11px 数值	第一眼→河流整体在"涨水" → 第二眼→哪条河涨得最快（野火） → 最终理解→气候灾害的全面恶化	河流图,Associated
359	Al Jazeera	路径流线图	Al Jazeera — 加沙冲突伤亡路径图	展示冲突中平民从居住地到避难所的被迫迁移路径			迁移路径用红色箭头，避难所用黄色圆点，冲突区用深红脉冲	路径标注人数，避难所标注容量和当前人数	地区地图底图 + 流线箭头 + 叠加统计面板	Sans 12px 地点标注 + 14px 统计数字，路径标注微型	第一眼→红色箭头的方向和密度 → 第二眼→避难所的容量压力 → 最终理解→被迫迁移的规模和方向	路径流线图,Al Jazeera
360	South China Morning Post	水墨风格时间线	South China Morning Post — 中国朝代时间线水墨图	用中国传统水墨风格展示中国主要朝代的更替时间线，传递历史厚度			主要朝代（唐/宋/元/明/清）用金红色圆点，其余墨色小点	每个朝代标注名称+持续年数，大朝代附一句描述	水平时间轴，水墨渲染背景，节点竖排文字标注	Serif（宋体/楷体）竖排，16px 朝代名 + 12px 年数	第一眼→金红色的大朝代节点 → 第二眼→水墨渲染的历史纵深 → 最终理解→统一/分裂的周期律	水墨风格时间线,South Chin
361	The Pudding	交互散点图（滚动叙事）	The Pudding — 流行音乐歌词词汇演变交互图	展示流行音乐歌词中特定词汇在不同年代的频率变化，揭示文化趋势			当前讨论的词汇用粉色大点，其余词汇灰色小点，年代用滑块控制	散点旁标注词汇，频率轴标注百分比	滚动叙事 + 散点图联动，每段文字驱动一个视觉变化	Serif 16px 正文 + Sans 24px 词汇标注，大量留白	第一眼→一个跳出来的粉色词汇 → 第二眼→滚动看到它随年代的变化 → 最终理解→"love"在下降，"money"在上升	交互散点图（滚动叙事）,The Puddin
362	The Pudding	比较时间线（双轴散点）	The Pudding — 好莱坞电影对话性别比比较时间线	展示好莱坞电影中男性/女性角色对话台词量的对比和演变			女性台词占比超过50%的电影用红色大圆，其余灰色小圆	标注电影名+台词占比，异常值（女性主导）加大字号	横轴年份，纵轴女性台词占比，50%参考线加粗	Sans 12px 电影名 + 14px 百分比，大量留白	第一眼→50%参考线上方的红色大圆（罕见） → 第二眼→大多数点在参考线下方 → 最终理解→好莱坞对话的性别失衡	比较时间线（双轴散点）,The Puddin
363	Asahi Shimbun（朝日新闻）	日式信息图（竖排+图表混合）	Asahi Shimbun — 日本老龄化和歌式信息图	用日式排版和留白美学展示日本老龄化数据，传递"安静的变化"			老龄化率超过30%的年份用红色竖排标注，关键拐点加大字号	竖排文字标注年份和比率，图表间穿插短文说明	竖排信息图，从右到左阅读，图表+文字交替排列	Mincho（明朝体）竖排 16px 正文 + 24px 标题	第一眼→竖排文字的独特阅读感 → 第二眼→红色标注的年份节点 → 最终理解→从7%到29%的半个世纪	日式信息图（竖排+图表混合）,Asahi Shim
364	Le Monde	分面热力图	Le Monde — 法国大罢工参与率对比热力图	展示法国各行业在不同罢工日的参与率，揭示哪些行业最"团结"			高参与率深蓝 #002395，低参与率浅灰，交通行业行用红色边框	行标注行业名，列标注日期，格内标注参与率%	行=行业，列=罢工日，填充色=参与率	Serif 13px 行业标签 + Sans 10px 日期，法国衬线体	第一眼→深蓝色密集的行（交通/能源） → 第二眼→哪天参与率最高 → 最终理解→交通行业是罢工运动的脊梁	分面热力图,Le Monde
365	Der Spiegel（明镜周刊）	河流图	Der Spiegel — 德国能源转型河流图	展示德国从核能/煤电向可再生能源的转型过程，揭示Energiewende的进展和代价			可再生能源用绿色河流并加粗上沿，核能用黄色标注退场	河流末端标注能源类型+占比，2011年标注"福岛→退核"事件	水平时间轴河流图，按能源类型分层	Sans 14px 能源标签 + 12px 事件标注，Spiegel Franklin Gothik	第一眼→绿色河流在逐年变宽 → 第二眼→黄色核能河流在2011后收窄 → 最终理解→煤电的顽固+可再生的增长	河流图,Der Spiege
366	Reuters Graphics / Malofiej 29 金奖	径向时间轴（环形日历图）	Malofiej 金奖 —《路透社：新冠疫情全球传播时间线》	以 365 天为一圈，让读者感受病毒从武汉扩散到全球的"环形加速度"——同一种病毒在不同时区反复上演相同悲剧			各国首例确诊日用红色脉冲点标注，点越密代表传播越快；中国段加粗描边	关键节点（WHO宣布PHEIC、各洲首例）用径向引线标注到外圈，日期+国名	中心放病毒微观结构示意图，外围 12 段弧线对应月份，径向引线辐射出去	Sans-serif（Source Sans Pro），月份标签 14px 加粗，事件标注 11px 常规	第一眼→中心病毒图 → 第二眼→红色脉冲沿环形蔓延的节奏 → 最终理解→时间密度差异揭示传播加速度	径向时间轴（环形日历图）,Reuters Gr
367	The New York Times / Malofiej 30 最佳展示作品	点密度地图（Dot Density Map）	Malofiej 金奖 —《纽约时报：美国枪支暴力地图》	每一个点代表一个枪支暴力受害者，让读者从视觉密度的窒息感中理解"这不是统计数字，是密集的生命"			枪击致死事件用橙色实心点，枪击受伤用半透明橙色，人口密度作为灰色底图参照	城市名标注在点密度最高的区域中心，底部放年度汇总条带	全幅美国地图，点层叠加在行政边界之上，底部水平时间轴迷你条带	Sans-serif（Franklin Gothic），城市标注 10px，标题 36px 粗体	第一眼→东海岸和芝加哥区域的橙色密集点群 → 第二眼→单个点放大后看清每个点代表一个人 → 最终理解→城市间密度的数量级差异	点密度地图（Dot Densi,The New Yo
368	Kantar "Information is Beautiful" 2023 长名单	声波形态图（Waveform Visualization）	Kantar 信息之美 —《睡眠周期的声音可视化》	将一整夜的睡眠数据转化为声波形态，深睡阶段波幅大而缓，REM 阶段波频密而急，让读者"看见"自己每晚的内部节奏			深睡段用主色实心填充，REM段用辅色描边不填充，清醒段用 #FF7043 锯齿标注	左侧纵轴标注睡眠阶段名，底部横轴标注时间刻度，关键觉醒点用三角标记	垂直时间轴从上（入睡）到下（醒来），每个睡眠周期是一组水平声波行	Sans-serif（Inter），阶段名 12px 加粗，时间刻度 9px 等宽	第一眼→整体波形的"呼吸感"节奏 → 第二眼→深色填充段（深睡）和锯齿段（觉醒）交替 → 最终理解→90分钟一个睡眠周期的规律	声波形态图（Waveform ,Kantar "In
369	The Guardian / Malofiej 28 银奖	时间序列面积图（动态）	Malofiej 银奖 —《卫报：北极冰层 40 年消融动画》	40 年北极冰层面积的缩减不是渐变的——而是"前 30 年慢慢退，后 10 年崩塌式消失"，用面积图的塌缩制造不可逆的紧迫感			冰层面积用渐变蓝色实心填充（深=多年冰，浅=一年冰），2012年最低点用红色虚线标注	关键年份（1980/2000/2012/2020）标注冰层面积数值，右下角放线性趋势线做对比	横向时间轴，冰层面积从上往下缩减，留白区域即"消失的冰"	Sans-serif（Guardian Egyptian），标题 28px 加粗，数据标注 11px	第一眼→左侧大面积蓝色 → 第二眼→右侧面积急剧缩小，2012红线 → 最终理解→面积缩减是非线性的，加速消融	时间序列面积图（动态）,The Guardi
370	The Washington Post / Malofiej 31 金奖	森林图（Forest Plot）+ 连接带（Connected Dot Plot）	Malofiej 金奖 —《华盛顿邮报：美国种族财富差距的代际追踪》	展示 1968-2020 年间白人和黑人家庭中位财富差距不仅没有缩小，反而在某些年代扩大——"50 年过去了，差距纹丝不动"			每个年代用一对水平圆点（蓝/红），圆点间距=差距大小；2008年金融危机后间距最大的年份用红色背景带高亮	每个年代标注中位财富数值，顶部放标题"50 years, $0 progress"	垂直年代轴，水平轴=中位财富，每个年代一对左右偏移的圆点	Serif（Postoni），标题用大号衬线体制造新闻感，数据标注 Sans-serif	第一眼→两条线从未交汇 → 第二眼→2008年后间距拉大 → 最终理解→"零进步"标题与数据的致命吻合	森林图（Forest Plot,The Washin
371	Kantar "Information is Beautiful" 2022 决赛作品	弧形流向地图（Flow Map）	Kantar 信息之美 —《全球塑料污染贸易流向图》	揭示发达国家如何将塑料"回收"的名义下将废料出口到东南亚——一条弧线=一船塑料垃圾，粗细=吨位			出口国用橙色实心点标注，进口国用浅橙色脉冲环标注，流量弧线用橙色渐变	前 5 大出口-进口对标注吨位和国家名，其余用交互悬停展示	深色底世界地图，弧线从出口国弯曲到进口国，弧高=距离	Sans-serif（Roboto），国家名 11px，标题 24px	第一眼→最粗的弧线（美国→东南亚） → 第二眼→弧线的汇聚点（马来西亚/越南） → 最终理解→"回收"的地缘政治	弧形流向地图（Flow Map,Kantar "In
372	Propublica / Malofiej 27 卓越奖	一维散点条带（Strip Plot / Dot Strip）	Malofiej 卓越奖 —《Propublica：美国国会投票的理想点估计图》	将每位议员的意识形态从左到右排列成一个点——左边最自由，右边最保守，中间派的稀少一目了然			民主党点蓝色，共和党点红色，两党交界处用灰色虚线标注"中位分界"，被标注的议员用更大圆点	关键议员（党魁、摇摆票）标注姓名，顶部放总统位置作为参照锚点	单行水平散点，纵轴无意义，纯一维排列	Sans-serif（Helvetica Neue），议员名 9px，标题 20px	第一眼→蓝红两团点之间的大段空白 → 第二眼→空白中零星几个灰色点（中间派） → 最终理解→政治极化的量化画像	一维散点条带（Strip Pl,Propublica
373	National Geographic / Malofiej 29 金奖	分层流向地图（Layered Flow Map）	Malofiej 金奖 —《国家地理：帝王蝶迁徙路径的分层地图》	展示帝王蝶从加拿大到墨西哥 4000 公里的迁徙路径，叠加温度带、栖息地变化和人为威胁——一趟旅程正在变得越来越艰难			迁徙主线用金黄色粗线，途经的危险区域（城市扩张、农药区）用红色半透明叠加	关键栖息地标注地名和停留天数，底部放温度带横截面图	纵向北美地图，路径从上（加拿大）到下（墨西哥），右侧嵌温度横截面	Serif（Georgia），地名 11px 斜体，标题 30px 衬线加粗	第一眼→金黄色迁徙主线穿越绿色大陆 → 第二眼→线上的红色斑块（威胁区） → 最终理解→温度带的季节变化如何限制迁徙窗口	分层流向地图（Layered ,National G
374	Kantar "Information is Beautiful" 2021 决赛作品	径向树图（Radial Dendrogram）	Kantar 信息之美 —《全球语言家族关系树》	以印欧语系为中心，展示全球语言家族的分化关系——从同一个根源出发，如何分叉成数百种语言			主要语系用不同色相（印欧 #8D6E63, 汉藏 #558B2F, 闪含 #F57F17），小语种用棕色细线	语系名标注在分叉节点，使用人数>1亿的语言加粗标注使用人数	中心=原始语根，径向向外展开，每个分支角度编码子语言数量	Sans-serif（Noto Sans），语系名 13px 加粗，小语种 8px	第一眼→中心分叉点的辐射结构 → 第二眼→找到自己母语的分支 → 最终理解→印欧语系占据了近半圆	径向树图（Radial Den,Kantar "In
375	Financial Times / Malofiej 30 银奖	蜂群图（Beeswarm Plot）	Malofiej 银奖 —《金融时报：全球供应链重新布局的蜂群图》	展示全球制造业正在从中国"分散"到越南、印度、墨西哥——但分散程度远不如媒体报道的那样剧烈			中国点深蓝且略大，其他亚洲国家用橙色，墨西哥用 #2E7D32，每个点=一家跨国工厂	国家名标注在各自蜂群簇的中心，y轴=投资年份	垂直时间轴（y），水平散开（无严格x轴），形成时间切片上的蜂群簇	Sans-serif（Metric, FT 品牌字体），标注 10px，标题 22px	第一眼→蓝色蜂群（中国）的缩小 → 第二眼→橙色蜂群（越南等）的膨胀 → 最终理解→分散趋势存在但速度被夸大	蜂群图（Beeswarm Pl,Financial 
376	Los Angeles Times / Malofiej 28 金奖	脊线图（Ridgeline / Joy Plot）	Malofiej 金奖 —《洛杉矶时报：加州野火季的年度对比脊线图》	将每年野火的面积分布叠成"山脉"——每座"山"是一年的燃烧面积，山越来越高、越来越宽			年份越近颜色越深（浅橙→深红），2020年（最严重年份）用实心填充+红色描边	每条脊线右侧标注年份，底部标注月份，顶部放累计面积总数	垂直堆叠的密度曲线，共享x轴（月份），y轴为燃烧面积密度	Sans-serif（Source Sans Pro），年份标注 10px，标题 26px	第一眼→从上到下"山脉"越来越高 → 第二眼→颜色从浅橙变成深红 → 最终理解→近10年的极端化趋势	脊线图（Ridgeline /,Los Angele
377	Kantar "Information is Beautiful" 2020 决赛作品	对称径向条形图（Radial Bar Chart）	Kantar 信息之美 —《新冠疫情封锁下的城市噪音变化》	以 24 小时为环，对比封锁前后城市各时段的噪音分贝——封锁让白天的城市安静了，但夜晚反而更吵（邻居活动后移）			封锁前条形向外延伸（绿色），封锁后叠加在内部（橙色），差异大的时段条形加粗	环外标注时段（0:00-23:00），差异最大时段（20:00-23:00）用红色标注分贝差值	24 段弧对应 24 小时，每段双条形（内外对比）	Sans-serif（Open Sans），时段标注 9px，标题 24px	第一眼→绿色和橙色条形的差异分布 → 第二眼→白天绿色更长（更吵），晚上橙色更长 → 最终理解→封锁没有让城市安静，只是重新分配了噪音	对称径向条形图（Radial ,Kantar "In
378	Boston Globe / Malofiej 29 卓越奖	情感弧线图（Emotional Arc / Sentiment Timeline）	Malofiej 卓越奖 —《波士顿环球报：波士顿马拉松成绩分布的情感弧线》	将每位完赛者的配速数据叠加，形成"万条弧线"——大多数人在心碎坡（Heartbreak Hill）掉速，但精英选手的弧线几乎水平			大众选手用半透明灰色弧线，精英选手用金黄色加粗弧线，赛道高亮段用白色虚线标注	赛道关键点（起点、心碎坡、终点）标注在底部，精英选手弧线末端标注姓名	x轴=赛道路程（公里），y轴=累计时间偏差，每人一条弧线叠加	Sans-serif（Akzidenz Grotesk），赛程标注 10px，标题 28px	第一眼→灰色弧线在 30km 处集体上扬（掉速） → 第二眼→金黄色弧线穿过灰色云层保持水平 → 最终理解→精英与大众的差距不在起点在心碎坡	情感弧线图（Emotional,Boston Glo
379	The Economist / Malofiej 31 金奖	坡度图矩阵（Slopegraph Matrix）	Malofiej 金奖 —《经济学的人：全球生育率下降的波浪图》	展示全球各国生育率从 1950 到 2020 的变化——几乎所有国家都在下降，但下降速度和起点完全不同			下降线用红色（经济学人品牌色），上升或持平的少数国家用黑色粗线	左端标注 1950 生育率，右端标注 2020 生育率，标题"Replacing themselves?"	分面坡度图，每个国家一格，网格排列，共享双端刻度	Serif（Economist自定义Serif），数值 10px，国家名 9px	第一眼→整片红色下坡线 → 第二眼→找到少数黑色持平/上升的国家（以色列、尼日尔） → 最终理解→2.1的替代水平线将世界分为"收缩"和"增长"两半	坡度图矩阵（Slopegrap,The Econom
380	Kantar "Information is Beautiful" 2022 决赛作品	单位图 / 等比例图标图（Isotype / Proportional Symbol Grid）	Kantar 信息之美 —《食物碳足迹的等比例图标图》	用等面积方块代表等量碳排放，把牛排（高碳）和豆腐（低碳）的碳排放差距变成"一堵墙 vs 几块砖"的视觉冲击			每种食物用不同颜色方块组，牛肉的方块阵列占据整行，蔬菜只有角落几块	方块组上方标注食物名，右侧标注 kg CO2 数值，底部放 1 块=1kg CO2 的比例尺	横向排列的食物对比，每种食物一行方块，方块数量=碳排放当量	Sans-serif（Roboto），食物名 14px 加粗，数值 18px 加粗	第一眼→牛肉那一长排方块 vs 豆腐那几块 → 第二眼→右边的 CO2 数值确认视觉判断 → 最终理解→饮食选择对碳排放的数量级影响	单位图 / 等比例图标图（Is,Kantar "In
381	UN Statistics Division / SDG Indicators Global Database	子弹图矩阵（Bullet Graph Matrix）	UN Data —《全球 SDG 进度仪表盘》	17 项可持续发展目标，每项显示当前进度 vs 2030 目标——大部分目标严重滞后，只有少数在轨道上			达标目标用 SDG 绿色条，滞后目标用 UN 蓝色条，严重滞后用 #DDDDDD 浅灰条	每行左侧标注 SDG 编号+简称，右侧标注完成百分比，2030 目标线用红色竖线	17 行水平子弹图，三层灰度背景带（目标区间），共享百分比 x 轴	Sans-serif（Arial），SDG 编号 12px 加粗，百分比 14px	第一眼→哪些行碰到了目标红线 → 第二眼→大面积蓝色/灰色（未达标）vs 少量绿色（达标） → 最终理解→SDG 整体进度堪忧	子弹图矩阵（Bullet Gr,UN Statist
382	World Bank Poverty and Inequality Platform	阶梯面积图（Step Area Chart）	World Bank —《全球贫困率下降的阶梯面积图》	展示 1990-2020 年全球每日 $1.90 以下贫困人口的下降——但 2020 年新冠疫情让曲线首次"回头"			下降期用深蓝实心填充，2020 年回升段用 #D32F2F 红色描边	关键年份标注贫困率数值，2020 年标注"COVID-19 reversal"，底部注释数据来源	横向时间轴，y 轴=贫困人口（百万），阶梯式下降 + 最后一步回升	Sans-serif（Segoe UI），数据标注 11px，标题 20px 加粗	第一眼→整体下降趋势 → 第二眼→2020 年红色回升段 → 最终理解→30 年成果被一年侵蚀	阶梯面积图（Step Area,World Bank
383	OECD Income Distribution Database	蝴蝶图（Butterfly / Tornado Chart）	OECD —《成员国收入不平等的蝴蝶图》	中间是基尼系数 0.3 的基准线，左侧=最穷 10% 收入占比，右侧=最富 10% 收入占比，每个国家一行，制造"左右不对称=不平等"的直觉			最穷 10% 用浅蓝色条，最富 10% 用深蓝色条，基准线用红色虚线	国家名居中，左右两端标注收入占比百分比	中轴基准线，左右对称展开，按总不对称度降序排列	Sans-serif（Calibri），国家名 10px，百分比 11px 加粗	第一眼→最不对称的国家（墨西哥、智利） → 第二眼→北欧国家的左右几乎等长 → 最终理解→基尼系数的直觉化呈现	蝴蝶图（Butterfly /,OECD Incom
384	IMF World Economic Outlook Database	堆叠面积图（Stacked Area Chart）	IMF —《全球债务占 GDP 比例的堆叠面积图》	展示 2000-2025 全球总债务的结构演变——政府、企业、家庭谁在加杠杆			政府债务层用最深蓝，企业债务用中蓝，家庭债务用浅蓝，2020年COVID段用红色标注	右侧每层末端标注债务类型和占 GDP 比例，2008和2020年用垂直参考线	时间轴 x 轴，百分比 y 轴，三层堆叠	Sans-serif（Open Sans），层标签 11px，标题 18px	第一眼→总面积从左到右的增长 → 第二眼→2008 和 2020 的两个跳升台阶 → 最终理解→企业债务是最大的增量来源	堆叠面积图（Stacked A,IMF World 
385	中国国家统计局年度统计公报	100% 堆叠柱状图（100% Stacked Column）	中国国家统计局 —《中国 GDP 三次产业构成演变》	展示 1978-2025 中国经济从"农业主导"到"服务业主导"的结构转型——第三产业的崛起是最大的叙事			第一产业用绿色，第二产业用金色，第三产业用红色，2012 年（三产超二产）用红色虚线标注	右侧标注各产业占比，关键转折点标注年份和事件	时间轴 x 轴，100% y 轴，每根柱三段	Sans-serif（思源黑体），产业名 11px，年份 9px	第一眼→红色段（第三产业）从底部到顶部的扩张 → 第二眼→2012 年红线交叉点 → 最终理解→中国经济结构的根本性转变	100% 堆叠柱状图（100%,中国国家统计局年度统
386	UN Population Division / World Population Prospects	人口金字塔（Population Pyramid）	UN Data —《全球人口年龄结构的人口金字塔对比》	叠加 2000 年和 2050 年（预测）两张人口金字塔，展示全球"老龄化"如何让金字塔从"宽底尖顶"变成"上下等宽"			2000年蓝色半透明填充，2050年橙色半透明叠加，60岁以上段用加粗描边	左侧标注年龄段，底部标注人口数（百万），顶部标注中位年龄	标准人口金字塔，中轴=年龄段，左右=男/女	Sans-serif（Arial），年龄段 9px，标题 18px	第一眼→蓝色金字塔的宽底 vs 橙色金字塔的直筒 → 第二眼→60岁以上段的橙色溢出蓝色 → 最终理解→中位年龄从 26.6 上升到 36.2	人口金字塔（Populatio,UN Populat
387	中国国家统计局分省年度数据	分级统计地图（Choropleth Map）	中国国家统计局 —《各省人均 GDP 分级统计地图》	展示中国各省人均 GDP 的空间分布——沿海深红、中部浅红、西部灰白，"胡焕庸线"的影子清晰可见			人均 GDP 前 5 省份用最深红色，后 5 省份用最浅粉，直辖市用圆圈符号叠加标注	省名标注在各省中心（空间允许），右下角放图例色阶条	标准中国地图（含南海诸岛），分省填充色	Sans-serif（思源黑体），省名 8px，图例 9px	第一眼→沿海深红带 → 第二眼→西部大面积浅色 → 最终理解→人均 GDP 的梯度与"胡焕庸线"高度重合	分级统计地图（Chorople,中国国家统计局分省年
388	World Bank Doing Business Report（已终止，历史数据）	棒棒糖图（Lollipop Chart）	World Bank —《营商环境排名的棒棒糖图》	展示营商环境排名前十和后十国家的得分差距——前十名几乎满分，后十名不到 40 分			得分>80 用深蓝圆点，得分<40 用红色圆点，圆点大小编码得分	国家名左侧标注，右侧标注得分，中位数用灰色虚线	水平棒棒糖，按得分降序排列，顶部前10+底部后10	Sans-serif（Segoe UI），国家名 10px，得分 12px 加粗	第一眼→深蓝大圆点和红色小圆点的视觉断层 → 第二眼→中间灰色中位数线 → 最终理解→营商环境的全球不平等	棒棒糖图（Lollipop C,World Bank
389	OECD PISA Results & Education at a Glance	散点气泡图（Scatter Bubble）	OECD —《教育支出与学生成绩的散点气泡图》	x 轴=生均教育支出，y 轴=PISA 数学成绩，气泡大小=学生数量——钱能买来成绩吗？能，但边际递减很明显			效率高的国家（低投入高成绩）用绿色描边，低效国家（高投入低成绩）用红色描边	关键国家标注国名，趋势线叠加，标注 R² 值	标准散点+气泡，叠加对数趋势线	Sans-serif（Calibri），国名 9px，标题 18px	第一眼→趋势线向右上弯曲（对数） → 第二眼→左上角绿色描边国家（爱沙尼亚等高性价比） → 最终理解→钱很重要但过了某个点效果骤降	散点气泡图（Scatter B,OECD PISA 
390	IMF World Economic Outlook	矩阵热力图（Heatmap Timeline）	IMF —《通货膨胀的全球热力时间线》	行=国家，列=年份，颜色=通胀率——2021-2023 年全球性的"红色浪潮"前所未有			低通胀用绿色，中通胀用黄色，高通胀用红色渐变，>10% 用深红	行标注国家名，列标注年份，右上角放 2022 年最高通胀国家标注	行列矩阵，色块填充，按 2022 年通胀率降序排列行	Sans-serif（Open Sans），国家名 8px，年份 9px	第一眼→2022 年那一列几乎全红 → 第二眼→2020 年那一列几乎全绿 → 最终理解→2021-2023 的通胀冲击是全球性的	矩阵热力图（Heatmap T,IMF World 
391	国家统计局月度统计公报	偏差条形图（Diverging Bar Chart）	中国国家统计局 —《全国居民消费价格指数分类涨跌幅》	以 100 为中轴，左侧=价格下降的品类，右侧=价格上涨的品类——哪些消费品在涨价、哪些在降价一目了然			涨价品类用红色条，降价品类用绿色条，幅度>3% 的品类条形加粗	品类名在条形外侧，条形末端标注涨跌幅百分比	中轴=100（持平），左右展开，按涨跌幅绝对值降序	Sans-serif（思源黑体），品类名 10px，百分比 11px 加粗	第一眼→最长的红色条（食品烟酒） → 第二眼→绿色条的品类（交通通信） → 最终理解→CPI 背后的结构性差异	偏差条形图（Diverging,国家统计局月度统计公
392	UNFCCC / Emissions Gap Report	桑基图（Sankey Diagram）	UN Data —《全球温室气体排放的桑基图》	展示全球温室气体从排放源（能源/农业/工业/废弃物）到气体类型（CO2/CH4/N2O）的流量分配			能源部门用 UN 蓝（最大流量），农业用 SDG 绿，工业用金黄	节点标注部门名和排放占比，流上标注 GtCO2e 数值	左→右流向，左排放源→中间气体类型→右最终归总	Sans-serif（Arial），节点名 11px 加粗，流量值 10px	第一眼→最宽的蓝色流（能源→CO2） → 第二眼→农业和废弃物的细流 → 最终理解→能源占 73%，CO2 占 75%，两个大头高度重合	桑基图（Sankey Diag,UNFCCC / E
393	World Bank Urban Development Data	小多图地图矩阵（Small Multiple Maps）	世界银行 —《全球城市化率的动态地图（1960-2025）》	每 10 年一张世界地图，用色深编码城市化率——1960 年只有欧美深色，2025 年几乎全球都在加深			城市化率>70% 用深蓝，<30% 用浅灰蓝色，每张地图底部标注年份	每张小地图标注年份和全球平均城市化率	2x4 网格（8个时间切片），每格一张简化世界地图	Sans-serif（Segoe UI），年份 14px 加粗，标题 20px	第一眼→从左到右、从上到下的颜色加深过程 → 第二眼→非洲始终最浅 → 最终理解→城市化是全球化最稳定的趋势之一	小多图地图矩阵（Small M,World Bank
